bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1512,39,856d,52352,61696,3272,3856,3.817333,4.498667,61696,4.498667,65536,jp,14:c0;15:f0;3d:82;3e:0e;85:f7;90:00;91:f1;94:c0;95:f0;b0:40;b1:40,f071:01;f081:07
1512,40,856e,26496,26368,1656,1648,1.932000,1.922667,26496,1.932000,28672,usa,,6761:01;6771:07
1512,41,856f,33920,36608,2120,2288,2.473333,2.669333,36608,2.669333,38912,jp,14:00;15:8f;3e:20;85:93;90:00;91:8f;94:00;95:8f;b0:40;b1:40,8eb1:01;8ec1:07
1512,42,8570,60544,58496,3784,3656,4.414667,4.265333,60544,4.414667,63488,usa,,ec11:01;ec21:07
1512,43,8571,44032,40704,2752,2544,3.210667,2.968000,44032,3.210667,47104,usa,,ab81:01;ab91:07
1512,44,8572,86400,84608,5400,5288,6.300000,6.169333,86400,6.300000,90112,usa,,15151:01;15161:07
1512,45,8573,46976,46848,2936,2928,3.425333,3.416000,46976,3.425333,49152,usa,,b721:01;b731:07
1512,46,8574,41216,36352,2576,2272,3.005333,2.650667,41216,3.005333,45056,usa,,a091:01;a0a1:07
1512,47,8575,38272,31872,2392,1992,2.790667,2.324000,38272,2.790667,40960,usa,,9501:01;9511:07
1512,48,8576,66048,69248,4128,4328,4.816000,5.049333,69248,5.049333,71680,jp,14:40;15:0e;3e:2f;85:13;90:80;91:0e;94:40;95:0e;b0:40;b1:40,10e21:01;10e31:07
1512,49,8577,46592,49920,2912,3120,3.397333,3.640000,49920,3.640000,53248,jp,15:c2;3e:5a;85:c7;91:c3;95:c2;b0:40;b1:40,c291:01;c2a1:07
1512,50,8580,71424,70656,4464,4416,5.208000,5.152000,71424,5.208000,73728,usa,,11671:01;11681:07
1512,51,8581,83968,91392,5248,5712,6.122667,6.664000,91392,6.664000,94208,jp,14:c0;15:64;3d:83;3e:0f;85:6b;91:65;94:c0;95:64;b0:40;b1:40,16491:01;164a1:07
1512,52,8582,22784,26752,1424,1672,1.661333,1.950667,26752,1.950667,30720,jp,14:40;15:68;3d:75;85:6f;90:80;91:68;94:40;95:68;b0:40;b1:40,6821:01;6831:07
1512,53,8583,65152,62976,4072,3936,4.750667,4.592000,65152,4.750667,67584,usa,,fe41:01;fe51:07
1512,54,8584,21248,17280,1328,1080,1.549333,1.260000,21248,1.549333,24576,usa,,52e1:01;52f1:07
1512,55,8585,35200,36480,2200,2280,2.566667,2.660000,36480,2.660000,38912,jp,14:80;15:8e;3a:20;85:93;91:8e;94:80;95:8e;b0:40;b1:40,8e51:01;8e61:07
1512,56,8586,13184,12160,824,760,0.961333,0.886667,13184,0.961333,16384,usa,,3331:01;3341:07
1513,0,8594,49920,42240,3120,2640,3.640000,3.080000,49920,3.640000,53248,usa,,c291:01;c2a1:07
1513,1,8595,90624,78336,5664,4896,6.608000,5.712000,90624,6.608000,94208,usa,,16171:01;16181:07
1513,2,8596,56320,78848,3520,4928,4.106667,5.749333,78848,5.749333,81920,jp,15:34;16:01;3d:82;3e:59;85:37;86:01;91:34;92:01;95:34;96:01;b0:40;b1:40,133d1:01;133e1:07
1513,3,8597,14720,13312,920,832,1.073333,0.970667,14720,1.073333,18432,usa,,3961:01;3971:07
1513,4,8598,23680,23808,1480,1488,1.726667,1.736000,23808,1.736000,26624,jp,14:c0;90:00;91:5d;94:c0;b0:40;b1:40,5c91:01;5ca1:07
1513,5,8599,24320,23296,1520,1456,1.773333,1.698667,24320,1.773333,26624,usa,,5e91:01;5ea1:07
